Channel,Click Cost,Campaign ID,other date
Google AdSense,4.986437909,cd4f7294-49f9-4f30-ba75-97b96c743181,1/29/04 0:00
Google AdSense,0.874284174,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,3/10/04 0:00
Organic,0,none,5/4/04 0:00
Google AdSense,3.844245271,6527cd48-b240-44e1-b69c-c59ba998cccd,6/15/04 0:00
FB ads,6.762540483,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,7/19/04 0:00
Google AdSense,3.032343518,cd4f7294-49f9-4f30-ba75-97b96c743181,8/17/04 0:00
Organic,0,none,9/8/04 0:00
Google AdSense,2.453378974,cd4f7294-49f9-4f30-ba75-97b96c743181,10/11/04 0:00
Organic,0,none,10/21/04 0:00
Organic,0,none,11/4/04 0:00
FB ads,7.360559824,cd4f7294-49f9-4f30-ba75-97b96c743181,11/18/04 0:00
Organic,0,none,11/29/04 0:00
Organic,0,none,12/10/04 0:00
,0,none,1/20/05 0:00
Organic,0,none,2/17/05 0:00
Google AdSense,4.185574238,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,3/9/05 0:00
Organic,0,none,5/1/05 0:00
Organic,0,none,5/31/05 0:00
Organic,0,none,2/24/03 0:00
Organic,0,none,4/29/03 0:00
Google AdSense,2.973322072,cd4f7294-49f9-4f30-ba75-97b96c743181,7/1/03 0:00
FB ads,2.149075162,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,8/25/03 0:00
Organic,0,none,10/10/03 0:00
Organic,0,none,10/28/03 0:00
FB ads,7.911900813,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,11/11/03 0:00
Google AdSense,4.378011842,cd4f7294-49f9-4f30-ba75-97b96c743181,11/18/03 0:00
Google AdSense,1.808993252,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,12/1/03 0:00
Organic,0,none,1/12/04 0:00
FB ads,3.217393404,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,2/20/04 0:00
Google AdSense,4.175389489,cd4f7294-49f9-4f30-ba75-97b96c743181,4/3/04 0:00
FB ads,4.281239631,cd4f7294-49f9-4f30-ba75-97b96c743181,5/18/04 0:00
Organic,0,none,6/28/04 0:00
,0,none,7/23/04 0:00
FB ads,5.790466451,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,8/27/04 0:00
Google AdSense,4.84079011,6527cd48-b240-44e1-b69c-c59ba998cccd,9/27/04 0:00
Organic,0,none,10/15/04 0:00
Google AdSense,2.937086755,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,11/2/04 0:00
Google AdSense,1.961238812,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,11/15/04 0:00
FB ads,5.713820652,cd4f7294-49f9-4f30-ba75-97b96c743181,11/23/04 0:00
Google AdSense,2.63849938,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,12/17/04 0:00
Organic,0,none,2/2/05 0:00
Organic,0,none,3/3/05 0:00
Organic,0,none,4/7/05 0:00
Organic,0,none,5/13/05 0:00
Organic,0,none,2/24/03 0:00
FB ads,4.714257487,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,4/29/03 0:00
Google AdSense,3.730963283,cd4f7294-49f9-4f30-ba75-97b96c743181,7/1/03 0:00
Google AdSense,4.642178111,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,8/25/03 0:00
Google AdSense,2.531746508,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,10/10/03 0:00
Organic,0,none,10/28/03 0:00
Organic,0,none,11/11/03 0:00
Google AdSense,0.678210916,cd4f7294-49f9-4f30-ba75-97b96c743181,11/18/03 0:00
FB ads,5.41792134,6527cd48-b240-44e1-b69c-c59ba998cccd,12/1/03 0:00
Google AdSense,1.421067053,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,1/12/04 0:00
Google AdSense,0.4475993,cd4f7294-49f9-4f30-ba75-97b96c743181,2/20/04 0:00
FB ads,3.63660942,6527cd48-b240-44e1-b69c-c59ba998cccd,4/5/04 0:00
Google AdSense,3.943314137,6527cd48-b240-44e1-b69c-c59ba998cccd,5/18/04 0:00
Organic,0,none,6/28/04 0:00
Organic,0,none,7/23/04 0:00
Organic,0,none,8/27/04 0:00
Organic,0,none,9/30/04 0:00
Google AdSense,1.748480633,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,10/15/04 0:00
Organic,0,none,11/2/04 0:00
FB ads,2.252148561,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,11/15/04 0:00
Organic,0,none,11/23/04 0:00
Organic,0,none,1/5/05 0:00
Organic,0,none,2/2/05 0:00
Organic,0,none,3/3/05 0:00
Google AdSense,3.389072178,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,4/8/05 0:00
Google AdSense,3.553096004,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,5/13/05 0:00
Organic,0,none,2/11/03 0:00
Organic,0,none,4/28/03 0:00
Organic,0,none,6/12/03 0:00
Google AdSense,1.744670835,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,8/10/03 0:00
Google AdSense,0.439066657,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,10/6/03 0:00
FB ads,4.487377278,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,10/23/03 0:00
Google AdSense,1.33144937,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,11/8/03 0:00
Organic,0,none,11/14/03 0:00
Google AdSense,0.265284295,cd4f7294-49f9-4f30-ba75-97b96c743181,11/26/03 0:00
Google AdSense,3.510296552,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,1/9/04 0:00
Google AdSense,4.772776435,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,2/19/04 0:00
Organic,0,none,5/7/04 0:00
Organic,0,none,6/17/04 0:00
Organic,0,none,7/21/04 0:00
Google AdSense,1.683414555,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,8/20/04 0:00
Organic,0,none,9/10/04 0:00
Google AdSense,2.884783592,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,10/14/04 0:00
Google AdSense,4.298367463,cd4f7294-49f9-4f30-ba75-97b96c743181,11/1/04 0:00
Google AdSense,4.028145593,cd4f7294-49f9-4f30-ba75-97b96c743181,11/5/04 0:00
FB ads,6.10854023,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,11/21/04 0:00
Organic,0,none,12/2/04 0:00
Organic,0,none,12/15/04 0:00
Google AdSense,2.308187613,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,1/31/05 0:00
Google AdSense,3.532657254,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,2/23/05 0:00
FB ads,3.296152108,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,3/17/05 0:00
FB ads,3.703660627,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,4/1/05 0:00
Organic,0,none,5/6/05 0:00
Organic,0,none,1/29/03 0:00
Google AdSense,3.946869696,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,4/1/03 0:00
FB ads,7.579880818,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,5/28/03 0:00
FB ads,3.140297022,6527cd48-b240-44e1-b69c-c59ba998cccd,7/24/03 0:00
Google AdSense,1.663339992,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,9/19/03 0:00
FB ads,2.037261603,cd4f7294-49f9-4f30-ba75-97b96c743181,10/21/03 0:00
Google AdSense,2.305605043,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,11/6/03 0:00
Organic,0,none,11/13/03 0:00
Google AdSense,1.25679864,6527cd48-b240-44e1-b69c-c59ba998cccd,11/25/03 0:00
FB ads,6.257535294,cd4f7294-49f9-4f30-ba75-97b96c743181,12/9/03 0:00
FB ads,2.712666286,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,2/4/04 0:00
FB ads,2.492864012,6527cd48-b240-44e1-b69c-c59ba998cccd,3/11/04 0:00
Organic,0,none,5/4/04 0:00
Organic,0,none,6/15/04 0:00
Organic,0,none,7/19/04 0:00
Organic,0,none,8/19/04 0:00
Organic,0,none,9/8/04 0:00
Google AdSense,4.250596557,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,10/13/04 0:00
Organic,0,none,10/22/04 0:00
Organic,0,none,11/4/04 0:00
Google AdSense,1.99891317,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,11/19/04 0:00
Google AdSense,1.643583348,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,11/29/04 0:00
Organic,0,none,12/10/04 0:00
Organic,0,none,1/20/05 0:00
Google AdSense,1.717969913,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,2/17/05 0:00
Organic,0,none,3/9/05 0:00
Organic,0,none,5/1/05 0:00
FB ads,7.764783836,cd4f7294-49f9-4f30-ba75-97b96c743181,5/31/05 0:00
FB ads,2.015790777,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,3/3/03 0:00
Google AdSense,3.716628952,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,5/8/03 0:00
Organic,0,none,7/2/03 0:00
Organic,0,none,9/5/03 0:00
Organic,0,none,10/10/03 0:00
Organic,0,none,11/4/03 0:00
Google AdSense,1.11430691,cd4f7294-49f9-4f30-ba75-97b96c743181,11/12/03 0:00
Organic,0,none,11/20/03 0:00
Google AdSense,4.861355702,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,12/2/03 0:00
Organic,0,none,1/15/04 0:00
Organic,0,none,2/22/04 0:00
Google AdSense,4.693924038,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,4/9/04 0:00
FB ads,2.934663954,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,6/1/04 0:00
Organic,0,none,7/6/04 0:00
Google AdSense,3.45240429,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,8/2/04 0:00
Google AdSense,4.236599053,6527cd48-b240-44e1-b69c-c59ba998cccd,8/30/04 0:00
Organic,0,none,10/4/03 0:00
Organic,0,none,10/16/04 0:00
Google AdSense,3.718414814,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,11/3/04 0:00
FB ads,3.552330245,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,11/15/04 0:00
FB ads,7.529821512,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,11/24/04 0:00
FB ads,3.638053024,cd4f7294-49f9-4f30-ba75-97b96c743181,1/6/05 0:00
Organic,0,none,2/3/05 0:00
Organic,0,none,3/3/05 0:00
Google AdSense,1.479197908,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,5/17/05 0:00
Organic,0,none,2/11/03 0:00
Google AdSense,0.314379437,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,4/16/03 0:00
Organic,0,none,6/3/03 0:00
FB ads,2.999225862,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,8/8/03 0:00
Organic,0,none,9/28/03 0:00
Google AdSense,2.904109407,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,10/22/03 0:00
Organic,0,none,11/6/03 0:00
Google AdSense,2.5943583,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,11/14/03 0:00
FB ads,7.266857009,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,11/26/03 0:00
Organic,0,none,1/2/04 0:00
Google AdSense,4.885623504,cd4f7294-49f9-4f30-ba75-97b96c743181,2/12/04 0:00
Organic,0,none,3/19/04 0:00
FB ads,4.785662405,cd4f7294-49f9-4f30-ba75-97b96c743181,5/5/04 0:00
Google AdSense,3.900258283,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,7/20/04 0:00
Google AdSense,2.605219914,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,8/20/04 0:00
Organic,0,none,9/9/04 0:00
Organic,0,none,10/14/04 0:00
Organic,0,none,10/22/04 0:00
Google AdSense,1.325907405,cd4f7294-49f9-4f30-ba75-97b96c743181,11/5/04 0:00
Google AdSense,0.77922774,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,11/20/04 0:00
Organic,0,none,11/1/04 0:00
FB ads,6.889967958,6527cd48-b240-44e1-b69c-c59ba998cccd,12/15/04 0:00
FB ads,4.280427232,6527cd48-b240-44e1-b69c-c59ba998cccd,1/23/05 0:00
Organic,0,none,2/17/05 0:00
Organic,0,none,3/17/05 0:00
Organic,0,none,5/5/05 0:00
Organic,0,none,1/29/03 0:00
FB ads,7.757577215,6527cd48-b240-44e1-b69c-c59ba998cccd,3/26/03 0:00
Organic,0,none,5/28/03 0:00
Organic,0,none,7/24/03 0:00
Organic,0,none,9/19/03 0:00
Organic,0,none,10/21/03 0:00
Organic,0,none,11/6/03 0:00
FB ads,6.762827043,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,11/13/03 0:00
Organic,0,none,11/25/03 0:00
Organic,0,none,12/5/03 0:00
Google AdSense,2.220455284,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,2/2/04 0:00
Organic,0,none,3/11/04 0:00
Organic,0,none,5/4/04 0:00
Organic,0,none,6/15/04 0:00
Google AdSense,1.157841424,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,7/19/04 0:00
Google AdSense,4.834991081,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,8/19/04 0:00
Organic,0,none,9/8/04 0:00
FB ads,5.916292211,cd4f7294-49f9-4f30-ba75-97b96c743181,10/11/04 0:00
Organic,0,none,10/22/04 0:00
FB ads,6.631562876,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,11/4/04 0:00
Google AdSense,4.771417189,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,11/18/04 0:00
Google AdSense,3.523751647,6527cd48-b240-44e1-b69c-c59ba998cccd,11/29/04 0:00
Google AdSense,0.384888946,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,12/10/04 0:00
Google AdSense,4.948218749,cd4f7294-49f9-4f30-ba75-97b96c743181,1/20/05 0:00
Google AdSense,1.769486748,cd4f7294-49f9-4f30-ba75-97b96c743181,2/17/05 0:00
FB ads,2.143422676,cd4f7294-49f9-4f30-ba75-97b96c743181,3/9/05 0:00
Organic,0,none,5/1/05 0:00
Google AdSense,3.029436981,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,5/31/05 0:00
Organic,0,none,2/24/03 0:00
Organic,0,none,5/7/03 0:00
Organic,0,none,7/1/03 0:00
Google AdSense,3.959365875,6527cd48-b240-44e1-b69c-c59ba998cccd,8/25/03 0:00
Organic,0,none,10/10/03 0:00
Organic,0,none,11/4/03 0:00
Google AdSense,4.396563507,cd4f7294-49f9-4f30-ba75-97b96c743181,11/11/03 0:00
Organic,0,none,11/18/03 0:00
Organic,0,none,12/1/03 0:00
FB ads,5.598286194,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,1/15/04 0:00
Organic,0,none,2/21/04 0:00
Google AdSense,2.542902172,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,4/5/04 0:00
Organic,0,none,5/18/04 0:00
Google AdSense,2.661199569,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,6/28/04 0:00
Google AdSense,3.108576922,6527cd48-b240-44e1-b69c-c59ba998cccd,8/2/04 0:00
FB ads,3.559003854,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,8/27/04 0:00
FB ads,2.561685491,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,9/30/04 0:00
Organic,0,none,10/15/04 0:00
Organic,0,none,11/3/04 0:00
Organic,0,none,11/15/04 0:00
Google AdSense,1.181432397,6527cd48-b240-44e1-b69c-c59ba998cccd,11/24/04 0:00
Google AdSense,2.756128251,cd4f7294-49f9-4f30-ba75-97b96c743181,1/5/05 0:00
Organic,0,none,2/3/05 0:00
Google AdSense,2.626573032,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,3/3/05 0:00
Organic,0,none,4/8/05 0:00
Google AdSense,4.849274817,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,5/13/05 0:00
Google AdSense,2.781745175,6527cd48-b240-44e1-b69c-c59ba998cccd,1/31/03 0:00
Organic,0,none,4/16/03 0:00
Organic,0,none,6/3/03 0:00
Organic,0,none,8/8/03 0:00
Organic,0,none,9/28/03 0:00
Organic,0,none,10/22/03 0:00
Google AdSense,3.732055286,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,11/6/03 0:00
Organic,0,none,11/14/03 0:00
Organic,0,none,11/26/03 0:00
FB ads,3.556953851,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,1/2/04 0:00
Organic,0,none,2/12/04 0:00
Organic,0,none,3/15/04 0:00
FB ads,2.892401377,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,5/5/04 0:00
Organic,0,none,7/20/04 0:00
Google AdSense,4.266478584,cd4f7294-49f9-4f30-ba75-97b96c743181,8/20/04 0:00
Organic,0,none,9/9/04 0:00
Google AdSense,3.97962475,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,10/14/04 0:00
Google AdSense,1.379719544,cd4f7294-49f9-4f30-ba75-97b96c743181,10/22/04 0:00
FB ads,3.853396823,6527cd48-b240-44e1-b69c-c59ba998cccd,11/5/04 0:00
Organic,0,none,11/20/04 0:00
Google AdSense,3.958430551,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,11/1/04 0:00
Google AdSense,1.411649915,6527cd48-b240-44e1-b69c-c59ba998cccd,12/10/04 0:00
Google AdSense,2.637760338,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,1/26/05 0:00
Google AdSense,4.662809669,cd4f7294-49f9-4f30-ba75-97b96c743181,2/17/05 0:00
FB ads,5.113901986,cd4f7294-49f9-4f30-ba75-97b96c743181,5/5/05 0:00
Organic,0,none,3/3/03 0:00
Google AdSense,2.17658056,cd4f7294-49f9-4f30-ba75-97b96c743181,5/8/03 0:00
Google AdSense,3.32954143,6527cd48-b240-44e1-b69c-c59ba998cccd,7/2/03 0:00
Organic,0,none,9/5/03 0:00
Organic,0,none,10/11/03 0:00
Google AdSense,3.136381104,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,11/4/03 0:00
Organic,0,none,11/12/03 0:00
Organic,0,none,11/20/03 0:00
Organic,0,none,12/2/03 0:00
FB ads,4.905667412,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,1/16/04 0:00
Organic,0,none,2/22/04 0:00
Google AdSense,3.638637064,17dfbc90-cb19-44fd-a81a-e7a2d321e7bb,4/9/04 0:00
Organic,0,none,6/1/04 0:00
Organic,0,none,7/6/04 0:00
Organic,0,none,8/2/04 0:00
Organic,0,none,8/30/04 0:00
